stateabb,sedaadmin,sedaadminname,subject,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
AL,100194,PELHAM CITY,mth,-0.24,0.05171468,-0.237,0.0463,-0.203,0.05114444,-0.207,0.0476,0.0377,0.07271297,0.0305,0.06,1553,1678,6,6,258.8,279.7
AL,100194,PELHAM CITY,rla,-0.000851,0.03786257,0.000495,0.0346,0.0582,0.03771115,0.0548,0.0349,0.0591,0.05343117,0.0543,0.0446,1537,1676,6,6,256.2,279.3
AL,100195,PIKE ROAD CITY,mth,-0.285,0.05667768,-0.251,0.0498,-0.0877,0.05223876,-0.114,0.0486,0.197,0.07705634,0.137,0.0622,977,1280,6,6,162.8,213.3
AL,100195,PIKE ROAD CITY,rla,-0.0412,0.0427994,-0.00547,0.0383,0.203,0.03931036,0.169,0.0363,0.244,0.05816553,0.175,0.0473,971,1281,6,6,161.8,213.5
AL,100210,AUBURN CITY,mth,0.377,0.05015356,0.335,0.0451,0.308,0.04905393,0.329,0.0458,-0.0689,0.07013033,-0.00563,0.0584,4097,4252,6,6,682.8,708.7
AL,100210,AUBURN CITY,rla,0.287,0.03168262,0.287,0.0296,0.352,0.03211855,0.346,0.0302,0.0651,0.04505996,0.0591,0.0394,4049,4251,6,6,674.8,708.5
AL,100240,AUTAUGA COUNTY,rla,0.0327,0.0302174,0.0157,0.0284,-0.0889,0.03083042,-0.0741,0.0291,-0.122,0.04314822,-0.0898,0.0381,4265,4189,6,6,710.8,698.2
AL,100240,AUTAUGA COUNTY,mth,-0.115,0.04843997,-0.137,0.0439,-0.211,0.04845187,-0.196,0.0453,-0.0958,0.06850494,-0.059,0.0575,4291,4187,6,6,715.2,697.8
AL,100270,BALDWIN COUNTY,mth,-0.0207,0.04626319,-0.0402,0.0422,-0.0938,0.04669292,-0.0808,0.0438,-0.0731,0.06572204,-0.0406,0.0559,15103,14368,6,6,2517.2,2394.7
AL,100270,BALDWIN COUNTY,rla,0.0652,0.02663807,0.0595,0.0253,0.0424,0.02743383,0.0463,0.0262,-0.0227,0.03821567,-0.0131,0.0346,15017,14365,6,6,2502.8,2394.2
AL,100330,BESSEMER CITY,mth,-0.916,0.05242413,-0.921,0.0469,-1.12,0.05413577,-1.1,0.05,-0.201,0.07530252,-0.178,0.0615,1651,1639,6,6,275.2,273.2
AL,100330,BESSEMER CITY,rla,-0.806,0.0383231,-0.816,0.035,-0.921,0.0372247,-0.905,0.0345,-0.115,0.05341965,-0.0892,0.0447,1633,1638,6,6,272.2,273.0
AL,100360,BIBB COUNTY,mth,-0.668,0.05342594,-0.637,0.0476,-0.571,0.0531694,-0.591,0.0492,0.0974,0.07535672,0.0465,0.0614,1445,1350,6,6,240.8,225.0
AL,100360,BIBB COUNTY,rla,-0.457,0.03892079,-0.459,0.0355,-0.485,0.03890876,-0.482,0.0359,-0.0282,0.05495294,-0.0224,0.0456,1441,1347,6,6,240.2,224.5
AL,100390,BIRMINGHAM CITY,mth,-1.02,0.04715876,-1.02,0.0429,-1.16,0.04861739,-1.15,0.0454,-0.133,0.06772677,-0.133,0.0571,10643,9996,6,6,1773.8,1666.0
AL,100390,BIRMINGHAM CITY,rla,-0.826,0.02803305,-0.824,0.0266,-0.849,0.02880074,-0.847,0.0274,-0.0234,0.04016422,-0.0235,0.036,10639,9995,6,6,1773.2,1665.8
AL,100420,BLOUNT COUNTY,mth,-0.335,0.04810513,-0.334,0.0436,-0.305,0.04844292,-0.308,0.0453,0.0291,0.06825941,0.0265,0.0574,3450,3562,6,6,575.0,593.7
AL,100420,BLOUNT COUNTY,rla,-0.166,0.03067057,-0.171,0.0288,-0.191,0.03106067,-0.187,0.0293,-0.0242,0.04361762,-0.0168,0.0385,3445,3561,6,6,574.2,593.5
AL,100450,BREWTON CITY,mth,-0.0781,0.06047676,-0.0735,0.0527,0.00432,0.05926974,-0.00529,0.0542,0.0824,0.08466979,0.0682,0.0662,532,551,6,6,88.7,91.8
AL,100450,BREWTON CITY,rla,0.163,0.05273209,0.12,0.0457,0.0334,0.05203071,0.0658,0.0461,-0.13,0.07403378,-0.0544,0.0548,532,553,6,6,88.7,92.2
AL,100480,BULLOCK COUNTY,mth,-1.04,0.05847998,-1.03,0.0515,-1.14,0.06072939,-1.13,0.0552,-0.0986,0.08431104,-0.104,0.0662,700,708,6,6,116.7,118.0
AL,100480,BULLOCK COUNTY,rla,-0.966,0.05110689,-0.938,0.0441,-0.933,0.0450685,-0.939,0.041,0.0326,0.06811797,-0.000362,0.0522,699,703,6,6,116.5,117.2
AL,100510,BUTLER COUNTY,rla,-0.701,0.04187692,-0.647,0.0376,-0.446,0.03785512,-0.484,0.0351,0.255,0.05646461,0.162,0.0463,1363,1334,6,6,227.2,222.3
