Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
2,AL,102820,RANDOLPH COUNTY,-0.356,0.03899797,-0.351,0.0357,-0.327,0.04311151,-0.331,0.0391,0.0284,0.05808341,0.0201,0.0474,1003,933,6,6,167.2,155.5
0,AL,102850,ROANOKE CITY,-0.565,0.05432408,-0.485,0.0463,-0.276,0.04853938,-0.328,0.0437,0.289,0.07274343,0.157,0.0542,656,606,6,6,109.3,101.0
0,AL,102880,RUSSELL COUNTY,-0.26,0.03604302,-0.257,0.0332,-0.237,0.03636757,-0.24,0.0338,0.023,0.051191,0.0175,0.0433,1658,1692,6,6,276.3,282.0
8,AL,102910,RUSSELLVILLE CITY,-0.52,0.0487795,-0.48,0.0421,-0.337,0.0445609,-0.367,0.0403,0.183,0.06688152,0.113,0.0511,930,945,5,5,186.0,189.0
3,AL,102940,SCOTTSBORO CITY,0.117,0.04136371,0.0759,0.0374,-0.0785,0.04121602,-0.0435,0.0378,-0.195,0.05831473,-0.119,0.0475,1110,1112,6,6,185.0,185.3
7,AL,102970,SELMA CITY,-0.697,0.0388574,-0.701,0.0353,-0.764,0.04030743,-0.755,0.0369,-0.0669,0.05610872,-0.0535,0.0461,1432,1166,6,6,238.7,194.3
2,AL,103000,SHEFFIELD CITY,-0.4,0.0534424,-0.408,0.0459,-0.429,0.05070718,-0.421,0.0452,-0.0292,0.07383315,-0.0136,0.0546,506,506,6,6,84.3,84.3
0,AL,103030,SHELBY COUNTY,0.0718,0.02726409,0.0726,0.0259,0.123,0.02813656,0.12,0.0268,0.0512,0.03913652,0.0474,0.0353,9776,9845,6,6,1629.3,1640.8
8,AL,103062,ST CLAIR COUNTY,-0.0409,0.02938647,-0.0485,0.0277,-0.0893,0.03022261,-0.0834,0.0286,-0.0484,0.04213926,-0.0349,0.0374,4208,4339,6,6,701.3,723.2
8,AL,103090,SUMTER COUNTY,-0.901,0.05476639,-0.882,0.0474,-0.9,0.05874186,-0.902,0.0507,0.00181,0.08035304,-0.0199,0.0573,578,443,6,6,96.3,73.8
8,AL,103120,SYLACAUGA CITY,-0.328,0.04247538,-0.309,0.0383,-0.22,0.04286967,-0.234,0.0391,0.108,0.06023984,0.0746,0.0485,976,966,6,6,162.7,161.0
5,AL,103150,TALLADEGA CITY,-0.601,0.05099941,-0.596,0.0434,-0.603,0.04299352,-0.603,0.0394,-0.00293,0.06679493,-0.00676,0.0512,769,827,5,6,153.8,137.8
7,AL,103180,TALLADEGA COUNTY,-0.277,0.03065348,-0.273,0.0288,-0.231,0.03173585,-0.234,0.0299,0.0461,0.04408246,0.0383,0.0388,3468,3306,6,6,578.0,551.0
0,AL,103210,TALLAPOOSA COUNTY,-0.392,0.03864045,-0.383,0.0352,-0.342,0.03832853,-0.349,0.0354,0.0497,0.05443664,0.0342,0.0453,1277,1261,6,6,212.8,210.2
7,AL,103240,TALLASSEE CITY,-0.27,0.04493038,-0.263,0.04,-0.243,0.04577798,-0.248,0.0413,0.0274,0.06417046,0.015,0.0504,794,715,6,6,132.3,119.2
5,AL,103270,TARRANT CITY,-0.96,0.06156228,-0.973,0.0507,-1.07,0.04902968,-1.04,0.0444,-0.106,0.07882398,-0.0714,0.0564,464,645,5,6,92.8,107.5
